channel_id,talk_id,ts,thread_ts,talk_user,text,date
CGRTJDWA1,b46edbe9-bab1-4eac-ac3d-f125f7774142,1554109706.0011,,UGQ2ENZD0,"<@UGPH97FDW>
同期が書いたQiitaですが，とても重要なことが書いてあるので一読をおすすめします！
<https://qiita.com/IshitaTakeshi/items/4607d9f729babd273960>
<https://qiita.com/IshitaTakeshi/items/e4145921c8dbf7ba57ef>",2019-04-01
CGRTJDWA1,ccdf7aea-9f94-4fce-9542-f854c2e58232,1554113595.0047,,UGPH97FDW,"目標までの道のり

⑧血液データなどを入れたらその人の今後の医療費(あるいは医療費群)を予測した結果が出る。(ゴール)
↑
⑦血液データなどを入れたらその人の医療費群を予測するようなモデルを作る。
↑
⑥どの因子を利用して何を求めるのか。医療費が何円以上かどうか。基準などを決める？
↑
⑤健診、医療費のデータに置き換えて少ないデータで簡単な予測モデルを作って動かしてみる。
↑
④③で実行したサンプルコードが何を意味してるか理解する。
↑
③ネットに落ちてるサンプルデータとサンプルコードをコピペして実際に動くところまでしてみる。
↑
②Pythonで実際に試せそうなサンプルをたくさん探す。
↑
①ニューラルネットワークとは何かを調べる。(原理とは何かとかは置いといて)",2019-04-01
CGRTJDWA1,ca4e0f00-2445-4b1d-9a3a-285fa9f69411,1554113786.0072,,UGPH97FDW,"今困っていること

とりあえず1つサンプルを探してコピペ動かしてみて結果は出た(はず)のだが、出力が何を表しているのか、打ってあるコードが何を意味しているのかわからず、1行1行調べながら悩んでいるところ。",2019-04-01
CGRTJDWA1,a043f049-221a-49ee-a387-c50327ea3b5c,1554114120.008,,UGPH97FDW,"みているサンプル
<https://deepage.net/features/numpy-neuralnetwork-3.html>",2019-04-01
CGRTJDWA1,273e490c-6a47-4620-9e8f-ef6620082a77,1560242859.0001,,UGPH97FDW,,2019-06-11
CGRTJDWA1,e057d26c-c701-448d-9c8f-30f6e64b29c8,1560243085.0004,,UGPH97FDW,,2019-06-11
CGRTJDWA1,09c52e6f-b9e3-49b3-b3eb-88c4911a6e30,1559899191.0001,,UGPH97FDW,,2019-06-07
CGRTJDWA1,a5a11720-d2f0-4f43-b81d-f72c3fff0020,1559899231.0004,,UGPH97FDW,,2019-06-07
CGRTJDWA1,7a8be4bb-020f-4618-8e78-5335e977d2ea,1559909487.0018,,UHFLB6JPR,"バランスがイマイチだな
図1のタイトルはおかしいよ",2019-06-07
CGRTJDWA1,d00d2958-a72d-4791-b2fc-b01ae2eda438,1559963537.0001,,UGPH97FDW,"タイトル修正
バランス調整
をしました。

よろしくお願いいたします。",2019-06-07
